# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 215.1833452; 5.9504891; -0.7652235; -0.0000818; 40.8294656; 3.4877337
1.9987263; 216.5679771; 7.3919095; -0.7653899; -0.0000848; 40.9998453; 3.4708287
3.9974525; 217.9528542; 8.8330964; -0.7655623; -0.0000877; 41.1686991; 3.4534812
5.9961788; 219.3379862; 10.2740429; -0.7657406; -0.0000907; 41.3360244; 3.4062480
7.9949051; 220.7233754; 11.7147339; -0.7659250; -0.0000939; 41.5004003; 3.3900345
9.9936314; 222.1090367; 13.1551670; -0.7661158; -0.0000972; 41.6633500; 3.3733647
11.9923576; 223.4949806; 14.5953340; -0.7663134; -0.0001006; 41.8248681; 3.3284794
13.9910839; 224.8812085; 16.0352164; -0.7665181; -0.0001043; 41.9836282; 3.3129029
15.9898102; 226.2677392; 17.4748127; -0.7667303; -0.0001081; 42.1410513; 3.2968526
17.9885365; 227.6545847; 18.9141131; -0.7669504; -0.0001121; 42.2971301; 3.2541180
19.9872627; 229.0417455; 20.3530953; -0.7671787; -0.0001164; 42.4506231; 3.2391302
21.9859890; 230.4292444; 21.7917584; -0.7674156; -0.0001208; 42.6028599; 3.2236473
23.9847153; 231.8170951; 23.2300911; -0.7676616; -0.0001254; 42.7538308; 3.1828903
25.9834415; 233.2052976; 24.6680666; -0.7679171; -0.0001303; 42.9023717; 3.1684482
27.9821678; 234.5938789; 26.1056850; -0.7681826; -0.0001354; 43.0497296; 3.1534852
29.9808941; 235.9828547; 27.5429329; -0.7684586; -0.0001407; 43.1958925; 3.1145528
31.9796204; 237.3722244; 28.9797790; -0.7687456; -0.0001464; 43.3397670; 3.1006176
33.9783466; 238.7620197; 30.4162239; -0.7690440; -0.0001523; 43.4825250; 3.0861308
35.9770729; 240.1522584; 31.8522519; -0.7693545; -0.0001584; 43.6241520; 3.0488872
37.9757992; 241.5429397; 33.2878268; -0.7696777; -0.0001649; 43.7636198; 3.0354234
39.9745255; 242.9341003; 34.7229494; -0.7700140; -0.0001717; 43.9020316; 3.0213723
41.9732517; 244.3257605; 36.1576017; -0.7703642; -0.0001787; 44.0393707; 2.9856960
43.9719780; 245.7179192; 37.5917420; -0.7707290; -0.0001863; 44.1746687; 2.9726709
45.9707043; 247.1106188; 39.0253711; -0.7711090; -0.0001941; 44.3089659; 2.9590174
47.9694305; 248.5038825; 40.4584681; -0.7715049; -0.0002021; 44.4422433; 2.9247986
49.9681568; 249.8977092; 41.8909852; -0.7719176; -0.0002108; 44.5735879; 2.9121818
51.9668831; 251.2921476; 43.3229233; -0.7723477; -0.0002198; 44.7039824; 2.8988896
